Recommendation Number,Message,Result,Explanation,Time
1.1.1.1,cramfs cannot be mounted,PASS,"install /bin/true 
",0.05817055702209473
1.1.1.2,freevxfs cannot be mounted,PASS,"install /bin/true 
",0.04479074478149414
1.1.1.3,jffs2 cannot be mounted,PASS,"install /bin/true 
",0.044785499572753906
1.1.1.4,hfs cannot be mounted,PASS,"install /bin/true 
",0.03151130676269531
1.1.1.5,hfsplus cannot be mounted,PASS,"install /bin/true 
",0.05981016159057617
1.1.1.6,squashfs mount status undetermined,PASS,"

",0.04577350616455078
1.1.1.7,udf cannot be mounted,PASS,"install /bin/true 
",0.06582164764404297
1.1.1.8,vfat is mounted,CHEK,"UUID=C4E4-E7F8	/boot/efi	vfat	umask=0077	0 1
",0.019266128540039062
1.1.2,/tmp is configured,PASS,"tmpfs on /tmp type tmpfs (rw,nosuid,nodev)
",0.03764748573303223
1.1.3,nodev is set on /tmp,PASS,"mount | grep -E '\s/tmp\s' | grep -v nodev did not return anything
",0.07052206993103027
1.1.4,nosuid is set on /tmp,PASS,"mount | grep -E '\s/tmp\s' | grep -v nosuid did not return anything
",0.07199430465698242
1.1.5,noexec is not set on /tmp,FAIL,"mount | grep -E '\s/tmp\s' | grep -v noexec returned the following
tmpfs on /tmp type tmpfs (rw,nosuid,nodev)
",0.06926393508911133
1.1.6,/var is not configured,FAIL,mount | grep -E '\s/var\s' did not return any result,0.03574728965759277
1.1.7,/var/tmp is not configured,FAIL,mount | grep /var/tmp did not return any result,0.034615516662597656
1.1.8,nodev is not set on /var/tmp,FAIL,/var/tmp does not exist. nodev cannot be set on a partition that does not exist,0.03624773025512695
1.1.9,nodev is not set on /var/tmp,FAIL,/var/tmp does not exist. nosuid cannot be set on a partition that does not exist,0.03629708290100098
1.1.10,noexec is not set on /var/tmp,FAIL,/var/tmp does not exist. noexec cannot be set on a partition that does not exist,0.03563976287841797
1.1.11,/var/log is not configured,FAIL,mount | grep /var/log did not return any result,0.03477334976196289
1.1.12,/var/log/audit is not configured,FAIL,mount | grep /var/log/audit did not return any result,0.037938594818115234
1.1.13,/home is not configured,FAIL,mount | grep /home did not return any result,0.03359723091125488
1.1.14,nodev is not set on /home,FAIL,/home does not exist. nodev cannot be set on a partition that does not exist,0.030295848846435547
1.1.15,nodev is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v nodev did not return anything,0.072723388671875
1.1.16,nosuid is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v nosuid did not return anything,0.0807793140411377
1.1.17,noexec is set on /dev/shm,PASS,mount | grep -E '\s/dev/shm\s' | grep -v noexec did not return anything,0.07240533828735352
1.1.18,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.0354924201965332
1.1.19,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.04069161415100098
1.1.20,No mounted media found,PASS,mount | grep -e '/media/' returned no result,0.03901052474975586
1.1.21,sticky bit set on w-w directories,PASS,running df --local -P | awk '{if (NR!=1) print $6}' | xargs -I '{}' find '{}' -xdev -type d \( -perm -0002 -a ! -perm -1000 \) 2>/dev/null confirms that all world writable directories have the sticky variable set,1.5514981746673584
1.1.22,automounting could not be checked,PASS,"Failed to get unit file state for autofs.service: No such file or directory
",0.048970699310302734
1.1.23,usb-storage cannot be mounted,PASS,"install /bin/true 
",0.057193756103515625
1.2.1,package configuration not checked (ind distro),CHEK,Distribution was not specified,7.128715515136719e-05
1.2.2,GPG keys source not checked (ind distro),CHEK,Distribution was not specified,1.621246337890625e-05
1.3.1,AIDE not checked (ind distro),CHEK,Distribution was not specified,1.1682510375976562e-05
1.3.2,No AIDE cron jobs scheduled,FAIL,"grep -r aide /etc/cron.* /etc/crontab returned the following

no crontab for root
",0.03009343147277832
1.4.1,bootloader permissions configured,PASS,"Access: (0400/-r--------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:56:46.458141236 +0000
",0.02578592300415039
1.4.2,bootloader password not checked,CHEK,,0.04680299758911133
1.4.3,auth not required for single user mode,FAIL,"grep ^root:[*\!]: /etc/shadow returned the following
",0.02179265022277832
1.4.4,interactive boot not checked,CHEK,"grep ""^PROMPT_FOR_CONFIRM="" /etc/sysconfig/boot returned the following

grep: /etc/sysconfig/boot: No such file or directory
",0.022142410278320312
1.5.1,core dumps not restricted,FAIL,"Following are configured properly
fs.suid_dumpable = 0

/etc/sysctl.conf:fs.suid_dumpable=0
/etc/sysctl.d/99-sysctl.conf:fs.suid_dumpable=0


Following are configured improperly
grep: /etc/security/limits.d/*: No such file or directory

",0.0649564266204834
1.5.2,XD/NX support is enabled,PASS,"Jul 30 05:59:10 ubuntu kernel: NX (Execute Disable) protection: active
Aug 02 06:46:34 pkrvmaz2t4o6q0i kernel: NX (Execute Disable) protection: active
",3.8337953090667725
1.5.3,ASLR not enabled,FAIL,"Following are configured properly
kernel.randomize_va_space = 2

/etc/sysctl.conf:kernel.randomize_va_space=2
/etc/sysctl.d/99-sysctl.conf:kernel.randomize_va_space=2


Following are configured improperly
",0.04143071174621582
1.5.4,prelink not checked (ind distro),CHEK,Distribution was not specified,4.935264587402344e-05
1.6.1.1,SELinux or AppArmor not checked (ind distro),CHEK,Distribution was not specified,4.076957702636719e-05
1.6.2.1,SELinux not disabled boot-config,PASS,"kernel		/boot/vmlinuz-4.15.0-151-generic root=LABEL=cloudimg-rootfs ro console=hvc0 
kernel		/boot/vmlinuz-4.15.0-151-generic root=LABEL=cloudimg-rootfs ro  single
",0.01927924156188965
1.6.2.2,SELinux state is not enforcing,FAIL,"Following are configured properly

Following are configured improperly
grep: /etc/selinux/config: No such file or directory


/bin/bash: sestatus: command not found

",0.033177852630615234
1.6.2.3,SELinux policy is not configured,FAIL,"Following are configured properly

Following are configured improperly

grep: /etc/selinux/config: No such file or directory


/bin/bash: sestatus: command not found

",0.02780604362487793
1.6.2.4,SETroubleshoot not checked (ind distro),CHEK,Distribution was not specified,5.888938903808594e-05
1.6.2.5,mcstrans not checked (ind distro),CHEK,Distribution was not specified,1.4781951904296875e-05
1.6.2.6,no unconfined daemons exist,PASS,"ps -eZ | grep -E ""initrc"" | grep -E -v -w ""tr|ps|grep|bash|awk"" | tr ':' ' ' | awk '{ print $NF }' returned nothing",0.053092002868652344
1.6.3.1,AppArmor not disabled boot-config,PASS,"kernel		/boot/vmlinuz-4.15.0-151-generic root=LABEL=cloudimg-rootfs ro console=hvc0 
kernel		/boot/vmlinuz-4.15.0-151-generic root=LABEL=cloudimg-rootfs ro  single
",0.024755239486694336
1.6.3.2,all AppArmor Profiles are enforcing,PASS,"apparmor module is loaded.
16 profiles are loaded.
16 profiles are in enforce mode.
   /sbin/dhclient
   /usr/bin/lxc-start
   /usr/bin/man
   /usr/lib/NetworkManager/nm-dhcp-client.action
   /usr/lib/NetworkManager/nm-dhcp-helper
   /usr/lib/connman/scripts/dhclient-script
   /usr/lib/snapd/snap-confine
   /usr/lib/snapd/snap-confine//mount-namespace-capture-helper
   /usr/sbin/chronyd
   /usr/sbin/tcpdump
   lxc-container-default
   lxc-container-default-cgns
   lxc-container-default-with-mounting
   lxc-container-default-with-nesting
   man_filter
   man_groff
0 profiles are in complain mode.
1 processes have profiles defined.
1 processes are in enforce mode.
   /usr/sbin/chronyd (1076) 
0 processes are in complain mode.
0 processes are unconfined but have a profile defined.
",0.44552040100097656
1.7.1.1,motd contains sensitive information,FAIL,"Following OS [or] patch level information were found in the message of the day
Authorized uses only. All activity may be monitored and reported.
",0.044176578521728516
1.7.1.2,login banner contains sensitive info,FAIL,"Following OS [or] patch level information were found in the local login banner
Authorized uses only. All activity may be monitored and reported.
",0.048879384994506836
1.7.1.3,remote banner contains sensitive info,FAIL,"Following OS [or] patch level information were found in the remote login banner
Authorized uses only. All activity may be monitored and reported.
",0.05217695236206055
1.7.1.4,/etc/motd permissions configured,PASS,"Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:46:41.805881834 +0000
",0.023122549057006836
1.7.1.5,/etc/issue permissions configured,PASS,"Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:46:47.009887574 +0000
",0.023580551147460938
1.7.1.6,/etc/issue.net permissions configured,PASS,"Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:50:22.985257318 +0000
",0.022267580032348633
1.7.2,GDM not found,CHEK,"cat /etc/gdm3/greeter.dconf-defaults did not return anything
cat: /etc/gdm3/greeter.dconf-defaults: No such file or directory
",0.020014047622680664
1.8,software not checked (ind distro),CHEK,Distribution was not specified,8.0108642578125e-05
2.1.1,chargen is not present,PASS,"grep -R ""^chargen"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.019565582275390625
2.1.2,daytime is not present,PASS,"grep -R ""^daytime"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.020814895629882812
2.1.3,discard is not present,PASS,"grep -R ""^discard"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.020627260208129883
2.1.4,echo is not present,PASS,"grep -R ""^echo"" /etc/inetd.* returned the following
",0.22838163375854492
2.1.5,time is not present,PASS,"grep -R ""^time"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.020751476287841797
2.1.6,rsh services not present,PASS,"
grep: /etc/inetd.*: No such file or directory

grep: /etc/inetd.*: No such file or directory

grep: /etc/inetd.*: No such file or directory

",0.055779457092285156
2.1.7,talk server not present,PASS,"
grep: /etc/inetd.*: No such file or directory

grep: /etc/inetd.*: No such file or directory

",0.03777766227722168
2.1.8,telnet server not present,PASS,"grep -R ""^telnet"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.01876544952392578
2.1.9,tftp server not present,PASS,"grep -R ""^tftp"" /etc/inetd.* returned the following
grep: /etc/inetd.*: No such file or directory
",0.0195310115814209
2.1.10,xinetd not found,PASS,"systemctl is-enabled xinetd returned the following
Failed to get unit file state for xinetd.service: No such file or directory
",0.027276039123535156
2.2.1.1,time sync not checked (ind distro),CHEK,Distribution was not specified,5.936622619628906e-05
2.2.1.2,ntp not configured,FAIL,"grep: /etc/ntp.conf: No such file or directory
",0.02199387550354004
2.2.1.3,remote server not configured,FAIL,"grep -E ""^(server|pool)"" /etc/chrony.conf returned the following
grep: /etc/chrony.conf: No such file or directory
",0.01882028579711914
2.2.1.4,system clock is synchronized,PASS,"enabled

Ensure that the NTP servers, NTP FallbackNTP servers, and RootDistanceMaxSec listed are in accordance with local policy
#  This file is part of systemd.
#
#  systemd is free software; you can redistribute it and/or modify it
#  under the terms of the GNU Lesser General Public License as published by
#  the Free Software Foundation; either version 2.1 of the License, or
#  (at your option) any later version.
#
# Entries in this file show the compile time defaults.
# You can change settings by editing this file.
# Defaults can be restored by simply deleting this file.
#
# See timesyncd.conf(5) for details.

[Time]
#NTP=
#FallbackNTP=ntp.ubuntu.com
#RootDistanceMaxSec=5
#PollIntervalMinSec=32
#PollIntervalMaxSec=2048

Check
                      Local time: Mon 2021-08-02 07:06:31 UTC
                  Universal time: Mon 2021-08-02 07:06:31 UTC
                        RTC time: Mon 2021-08-02 07:06:30
                       Time zone: Etc/UTC (UTC, +0000)
       System clock synchronized: no
systemd-timesyncd.service active: yes
                 RTC in local TZ: no
",0.19572830200195312
2.2.2,X Window System not checked (ind distro),CHEK,Distribution was not specified,5.054473876953125e-05
2.2.3,avahi-daemon not found,PASS,"systemctl is-enabled avahi-daemon returned the following
Failed to get unit file state for avahi-daemon.service: No such file or directory
",0.03624892234802246
2.2.4,cups not found,PASS,"systemctl is-enabled cups returned the following
Failed to get unit file state for cups.service: No such file or directory
",0.03089594841003418
2.2.5,dhcpd not found,PASS,"systemctl is-enabled dhcpd returned the following
Failed to get unit file state for dhcpd.service: No such file or directory
",0.031173229217529297
2.2.6,slapd not found,PASS,"systemctl is-enabled slapd returned the following
Failed to get unit file state for slapd.service: No such file or directory
",0.05702853202819824
2.2.7,npc and rpcbind are disabled,PASS,"systemctl is-enabled nfs returned the following
Failed to get unit file state for nfs.service: No such file or directory

systemctl is-enabled rpcbind returned the following
Failed to get unit file state for rpcbind.service: No such file or directory
",0.10870695114135742
2.2.8,named not found,PASS,"systemctl is-enabled named returned the following
Failed to get unit file state for named.service: No such file or directory
",0.051450252532958984
2.2.9,vsftpd not found,PASS,"systemctl is-enabled vsftpd returned the following
Failed to get unit file state for vsftpd.service: No such file or directory
",0.03915095329284668
2.2.10,httpd not found,PASS,"systemctl is-enabled httpd returned the following
Failed to get unit file state for httpd.service: No such file or directory
",0.039166927337646484
2.2.11,dovecot not found,PASS,"systemctl is-enabled dovecot returned the following
Failed to get unit file state for dovecot.service: No such file or directory
",0.03703570365905762
2.2.12,smb not found,PASS,"systemctl is-enabled smb returned the following
Failed to get unit file state for smb.service: No such file or directory
",0.037038326263427734
2.2.13,squid not found,PASS,"systemctl is-enabled squid returned the following
Failed to get unit file state for squid.service: No such file or directory
",0.0384526252746582
2.2.14,snmpd not found,PASS,"systemctl is-enabled snmpd returned the following
Failed to get unit file state for snmpd.service: No such file or directory
",0.03559541702270508
2.2.15,mta is local only,PASS,"ss -lntu | grep -E ':25\s' | grep -E -v '\s(127.0.0.1|::1):25\s' returned the following
",0.025522708892822266
2.2.16,rsyncd not found,PASS,"systemctl is-enabled rsyncd returned the following
Failed to get unit file state for rsyncd.service: No such file or directory
",0.03598308563232422
2.2.17,ypserv not found,PASS,"systemctl is-enabled ypserv returned the following
Failed to get unit file state for ypserv.service: No such file or directory
",0.035382747650146484
2.3.1,NIS Client not checked (ind distro),CHEK,Distribution was not specified,5.936622619628906e-05
2.3.2,rsh Client not checked (ind distro),CHEK,Distribution was not specified,1.5497207641601562e-05
2.3.3,talk Client not checked (ind distro),CHEK,Distribution was not specified,1.5735626220703125e-05
2.3.4,telnet Client not checked (ind distro),CHEK,Distribution was not specified,1.1444091796875e-05
2.3.5,LDAP Client not checked (ind distro),CHEK,Distribution was not specified,1.0967254638671875e-05
3.1.1,IP forwarding disabled,PASS,"net.ipv6.conf.all.forwarding = 0

/etc/sysctl.conf:#net.ipv6.conf.all.forwarding=1
/etc/sysctl.conf:net.ipv6.conf.all.forwarding=0
/etc/sysctl.d/99-sysctl.conf:#net.ipv6.conf.all.forwarding=1
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.all.forwarding=0
",0.07462596893310547
3.1.2,packet redirect sending is disabled,PASS,"net.ipv4.conf.default.send_redirects = 0

/etc/sysctl.conf:net.ipv4.conf.default.send_redirects=0
/etc/sysctl.d/99-sysctl.conf:net.ipv4.conf.default.send_redirects=0
",0.07871413230895996
3.2.1,source routed packets are not accepted,PASS,"net.ipv6.conf.all.accept_source_route = 0

/etc/sysctl.conf:#net.ipv6.conf.all.accept_source_route = 0
/etc/sysctl.conf:net.ipv6.conf.all.accept_source_route=0
/etc/sysctl.d/99-sysctl.conf:#net.ipv6.conf.all.accept_source_route = 0
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.all.accept_source_route=0

net.ipv6.conf.default.accept_source_route = 0

/etc/sysctl.conf:net.ipv6.conf.default.accept_source_route=0
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.default.accept_source_route=0
",0.14774298667907715
3.2.2,ICMP redirects not accepted,PASS,"net.ipv6.conf.all.accept_redirects = 0

/etc/sysctl.conf:#net.ipv6.conf.all.accept_redirects = 0
/etc/sysctl.conf:net.ipv6.conf.all.accept_redirects=0
/etc/sysctl.d/99-sysctl.conf:#net.ipv6.conf.all.accept_redirects = 0
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.all.accept_redirects=0

net.ipv6.conf.default.accept_redirects = 0

/etc/sysctl.conf:net.ipv6.conf.default.accept_redirects=0
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.default.accept_redirects=0
",0.14989209175109863
3.2.3,secure ICMP redirects not accepted,PASS,"net.ipv4.conf.default.secure_redirects = 0

/etc/sysctl.conf:net.ipv4.conf.default.secure_redirects=0
/etc/sysctl.d/99-sysctl.conf:net.ipv4.conf.default.secure_redirects=0
",0.07331514358520508
3.2.4,suspicious packets are logged,PASS,"net.ipv4.conf.default.log_martians = 1

/etc/sysctl.conf:net.ipv4.conf.default.log_martians=1
/etc/sysctl.d/99-sysctl.conf:net.ipv4.conf.default.log_martians=1
",0.07340335845947266
3.2.5,broadcast ICMP requests ignored,PASS,"net.ipv4.icmp_echo_ignore_broadcasts = 1

/etc/sysctl.conf:net.ipv4.icmp_echo_ignore_broadcasts=1
/etc/sysctl.d/99-sysctl.conf:net.ipv4.icmp_echo_ignore_broadcasts=1
",0.035811424255371094
3.2.6,bogus ICMP responses ignored,PASS,"net.ipv4.icmp_ignore_bogus_error_responses = 1

/etc/sysctl.conf:net.ipv4.icmp_ignore_bogus_error_responses=1
/etc/sysctl.d/99-sysctl.conf:net.ipv4.icmp_ignore_bogus_error_responses=1
",0.03710031509399414
3.2.7,Reverse Path Filtering enabled,PASS,"net.ipv4.conf.default.rp_filter = 1

/etc/sysctl.conf:#net.ipv4.conf.default.rp_filter=1
/etc/sysctl.conf:net.ipv4.conf.default.rp_filter=1
/etc/sysctl.d/10-network-security.conf:net.ipv4.conf.default.rp_filter=1
/etc/sysctl.d/99-sysctl.conf:#net.ipv4.conf.default.rp_filter=1
/etc/sysctl.d/99-sysctl.conf:net.ipv4.conf.default.rp_filter=1
",0.07232213020324707
3.2.8,TCP SYN Cookies enabled,PASS,"net.ipv4.tcp_syncookies = 1

/etc/sysctl.conf:#net.ipv4.tcp_syncookies=1
/etc/sysctl.conf:net.ipv4.tcp_syncookies=1
/etc/sysctl.d/10-network-security.conf:net.ipv4.tcp_syncookies=1
/etc/sysctl.d/99-sysctl.conf:#net.ipv4.tcp_syncookies=1
/etc/sysctl.d/99-sysctl.conf:net.ipv4.tcp_syncookies=1
",0.03962135314941406
3.2.9,IPv6 router advert not accepted,PASS,"net.ipv6.conf.default.accept_ra = 0

/etc/sysctl.conf:net.ipv6.conf.default.accept_ra=0
/etc/sysctl.d/99-sysctl.conf:net.ipv6.conf.default.accept_ra=0
",0.07385611534118652
3.3.1,TCP Wrappers not checked (ind distro),CHEK,Distribution was not specified,9.083747863769531e-05
3.3.2,/etc/hosts.allow not configured,FAIL,"# /etc/hosts.allow: list of hosts that are allowed to access the system.
#                   See the manual pages hosts_access(5) and hosts_options(5).
#
# Example:    ALL: LOCAL @some_netgroup
#             ALL: .foobar.edu EXCEPT terminalserver.foobar.edu
#
# If you're going to protect the portmapper use the name ""rpcbind"" for the
# daemon name. See rpcbind(8) and rpc.mountd(8) for further information.
#


",0.014391899108886719
3.3.3,/etc/hosts.deny not configured,FAIL,"# /etc/hosts.deny: list of hosts that are _not_ allowed to access the system.
#                  See the manual pages hosts_access(5) and hosts_options(5).
#
# Example:    ALL: some.host.name, .some.domain
#             ALL EXCEPT in.fingerd: other.host.name, .other.domain
#
# If you're going to protect the portmapper use the name ""rpcbind"" for the
# daemon name. See rpcbind(8) and rpc.mountd(8) for further information.
#
# The PARANOID wildcard matches any host whose name does not match its
# address.
#
# You may wish to enable this to ensure any programs that don't
# validate looked up hostnames still leave understandable logs. In past
# versions of Debian this has been the default.
# ALL: PARANOID


",0.01806163787841797
3.3.4,/etc/hosts.allow permissions configured,PASS,"Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:50:20.457250665 +0000
",0.02343606948852539
3.3.5,/etc/hosts.deny permissions configured,PASS,"Access: (0644/-rw-r--r--)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:50:20.457250665 +0000
",0.024363994598388672
3.4.1,dccp cannot be mounted,PASS,"install /bin/true 
",0.050797224044799805
3.4.2,sctp cannot be mounted,PASS,"install /bin/true 
",0.04835963249206543
3.4.3,rds cannot be mounted,PASS,"install /bin/true 
",0.039591073989868164
3.4.4,tipc cannot be mounted,PASS,"install /bin/true 
",0.0563809871673584
3.5.1.1,IPv6 default no deny policy,FAIL,"Chain INPUT (policy ACCEPT)
Chain FORWARD (policy ACCEPT)
Chain OUTPUT (policy ACCEPT)

Following uses ipv6
        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro recovery nomodeset dis_ucode_ldr console=tty1 console=ttyS0 earlyprintk=ttyS0
",0.04514455795288086
3.5.1.2,IPv6 input loopback no config,FAIL,"Chain INPUT (policy ACCEPT 0 packets, 0 bytes)
 pkts bytes target     prot opt in     out     source               destination         

Following uses ipv6
        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro recovery nomodeset dis_ucode_ldr console=tty1 console=ttyS0 earlyprintk=ttyS0
",0.04339194297790527
3.5.1.3,IPv6 Table contains no config,FAIL,"Chain INPUT (policy ACCEPT 0 packets, 0 bytes)
 pkts bytes target     prot opt in     out     source               destination         

Chain FORWARD (policy ACCEPT 0 packets, 0 bytes)
 pkts bytes target     prot opt in     out     source               destination         

Chain OUTPUT (policy ACCEPT 1 packets, 56 bytes)
 pkts bytes target     prot opt in     out     source               destination         

Following uses ipv6
        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro console=tty1 console=ttyS0 earlyprintk=ttyS0 
	        linux	/boot/vmlinuz-5.4.0-1055-azure root=UUID=f89a10d0-2ae6-4411-9086-8ccd221055fd ro recovery nomodeset dis_ucode_ldr console=tty1 console=ttyS0 earlyprintk=ttyS0
",0.04161953926086426
3.5.1.4,open ports no firewall rule,FAIL,"Following open ports were found
Netid  State    Recv-Q   Send-Q      Local Address:Port     Peer Address:Port   
udp    UNCONN   0        0                   [::1]:323              [::]:*      
tcp    LISTEN   0        128                  [::]:22               [::]:*      

IPv6 input table configuration
Chain INPUT (policy ACCEPT 0 packets, 0 bytes)
 pkts bytes target     prot opt in     out     source               destination         
",1.053661584854126
3.5.2.1,no default deny firewall,FAIL,"Chain INPUT (policy ACCEPT)
Chain FORWARD (policy ACCEPT)
Chain OUTPUT (policy ACCEPT)
",0.022765636444091797
3.5.2.2,fw input loopback no config,FAIL,"Chain INPUT (policy ACCEPT 7166 packets, 36M bytes)
 pkts bytes target     prot opt in     out     source               destination         
",0.015145063400268555
3.5.2.3,iptables contains no config,FAIL,"Chain INPUT (policy ACCEPT 7166 packets, 36M bytes)
 pkts bytes target     prot opt in     out     source               destination         

Chain FORWARD (policy ACCEPT 0 packets, 0 bytes)
 pkts bytes target     prot opt in     out     source               destination         

Chain OUTPUT (policy ACCEPT 6989 packets, 1138K bytes)
 pkts bytes target     prot opt in     out     source               destination         
",0.020059823989868164
3.5.2.4,open ports no firewall rule,FAIL,"Following open ports were found
Netid  State    Recv-Q   Send-Q      Local Address:Port     Peer Address:Port   
udp    UNCONN   0        0           127.0.0.53%lo:53            0.0.0.0:*      
udp    UNCONN   0        0           10.1.0.4%eth0:68            0.0.0.0:*      
udp    UNCONN   0        0               127.0.0.1:323           0.0.0.0:*      
tcp    LISTEN   0        128         127.0.0.53%lo:53            0.0.0.0:*      
tcp    LISTEN   0        128               0.0.0.0:22            0.0.0.0:*      

iptables input configuration
Chain INPUT (policy ACCEPT 7166 packets, 36M bytes)
 pkts bytes target     prot opt in     out     source               destination         
",0.03406071662902832
3.5.3,iptables not checked (ind distro),CHEK,Distribution was not specified,4.76837158203125e-05
